was_die_roll,sent_message,message_received,system_time,logical_clock_time,length_of_queue
1,0,0,1677881857,0,0
1,0,0,1677881857,1,0
0,0,1,1677881858,2,0
1,1,0,1677881858,3,0
1,1,0,1677881858,4,0
1,0,0,1677881858,5,0
1,1,0,1677881858,6,0
1,0,0,1677881859,7,0
1,1,0,1677881859,8,0
1,1,0,1677881859,9,0
1,0,0,1677881859,10,0
1,1,0,1677881859,11,0
1,0,0,1677881860,12,0
1,0,0,1677881860,13,0
0,0,1,1677881860,14,0
1,1,0,1677881860,15,0
0,0,1,1677881860,16,0
1,0,0,1677881861,17,0
1,0,0,1677881861,18,0
0,0,1,1677881861,19,0
1,1,0,1677881861,20,0
1,0,0,1677881861,21,0
1,0,0,1677881862,22,0
1,0,0,1677881862,23,0
1,1,0,1677881862,24,0
1,0,0,1677881862,25,0
1,0,0,1677881862,26,0
1,0,0,1677881863,27,0
1,0,0,1677881863,28,0
1,0,0,1677881863,29,0
1,0,0,1677881863,30,0
0,0,1,1677881863,31,0
1,0,0,1677881864,32,0
1,1,0,1677881864,33,0
1,0,0,1677881864,34,0
1,1,0,1677881864,35,0
1,1,0,1677881864,36,0
1,1,0,1677881865,37,0
1,0,0,1677881865,38,0
1,0,0,1677881865,39,0
1,0,0,1677881865,40,0
1,0,0,1677881865,41,0
1,0,0,1677881866,42,0
1,0,0,1677881866,43,0
1,0,0,1677881866,44,0
1,1,0,1677881866,45,0
1,0,0,1677881866,46,0
1,0,0,1677881867,47,0
1,0,0,1677881867,48,0
0,0,1,1677881867,49,0
1,0,0,1677881867,50,0
1,0,0,1677881867,51,0
1,0,0,1677881868,52,0
1,1,0,1677881868,53,0
1,0,0,1677881868,54,0
1,1,0,1677881868,55,0
1,1,0,1677881868,56,0
1,0,0,1677881869,57,0
1,1,0,1677881869,58,0
1,0,0,1677881869,59,0
1,0,0,1677881869,60,0
1,0,0,1677881869,61,0
1,1,0,1677881870,62,0
1,0,0,1677881870,63,0
1,1,0,1677881870,64,0
1,0,0,1677881870,65,0
1,1,0,1677881870,66,0
1,0,0,1677881871,67,0
0,0,1,1677881871,68,0
0,0,1,1677881871,69,0
1,0,0,1677881871,70,0
1,1,0,1677881871,71,0
1,1,0,1677881872,72,0
1,0,0,1677881872,73,0
1,0,0,1677881872,74,0
1,0,0,1677881872,75,0
0,0,1,1677881872,76,0
1,1,0,1677881873,77,0
1,0,0,1677881873,78,0
1,1,0,1677881873,79,0
1,0,0,1677881873,80,0
1,0,0,1677881873,81,0
1,0,0,1677881874,82,0
1,0,0,1677881874,83,0
1,0,0,1677881874,84,0
1,0,0,1677881874,85,0
1,0,0,1677881874,86,0
1,1,0,1677881875,87,0
1,1,0,1677881875,88,0
1,0,0,1677881875,89,0
1,0,0,1677881875,90,0
1,1,0,1677881875,91,0
1,0,0,1677881876,92,0
1,1,0,1677881876,93,0
1,0,0,1677881876,94,0
1,0,0,1677881876,95,0
1,0,0,1677881876,96,0
1,1,0,1677881877,97,0
1,0,0,1677881877,98,0
1,0,0,1677881877,99,0
1,0,0,1677881877,100,0
1,1,0,1677881877,101,0
1,0,0,1677881878,102,0
1,1,0,1677881878,103,0
1,0,0,1677881878,104,0
1,0,0,1677881878,105,0
1,0,0,1677881878,106,0
1,1,0,1677881879,107,0
1,0,0,1677881879,108,0
1,0,0,1677881879,109,0
1,1,0,1677881879,110,0
1,1,0,1677881879,111,0
1,0,0,1677881880,112,0
1,0,0,1677881880,113,0
1,1,0,1677881880,114,0
1,0,0,1677881880,115,0
1,0,0,1677881880,116,0
1,0,0,1677881881,117,0
1,0,0,1677881881,118,0
1,1,0,1677881881,119,0
1,0,0,1677881881,120,0
1,0,0,1677881881,121,0
1,0,0,1677881882,122,0
1,0,0,1677881882,123,0
1,1,0,1677881882,124,0
1,0,0,1677881882,125,0
1,0,0,1677881882,126,0
1,0,0,1677881883,127,0
1,0,0,1677881883,128,0
1,0,0,1677881883,129,0
1,1,0,1677881883,130,0
1,1,0,1677881883,131,0
1,1,0,1677881884,132,0
1,0,0,1677881884,133,0
1,1,0,1677881884,134,0
1,0,0,1677881884,135,0
1,0,0,1677881884,136,0
1,0,0,1677881885,137,0
0,0,1,1677881885,138,0
0,0,1,1677881885,139,0
1,0,0,1677881885,140,0
1,0,0,1677881885,141,0
1,0,0,1677881886,142,0
1,1,0,1677881886,143,0
1,1,0,1677881886,144,0
1,0,0,1677881886,145,0
1,0,0,1677881886,146,0
1,0,0,1677881887,147,0
1,1,0,1677881887,148,0
0,0,1,1677881887,149,0
1,1,0,1677881887,150,0
1,1,0,1677881887,151,0
1,1,0,1677881888,152,0
1,1,0,1677881888,153,0
1,1,0,1677881888,154,0
1,0,0,1677881888,155,0
1,1,0,1677881888,156,0
1,0,0,1677881889,157,0
1,1,0,1677881889,158,0
1,0,0,1677881889,159,0
1,0,0,1677881889,160,0
1,1,0,1677881889,161,0
1,0,0,1677881890,162,0
1,0,0,1677881890,163,0
0,0,1,1677881890,164,0
1,0,0,1677881890,165,0
0,0,1,1677881890,166,0
1,1,0,1677881891,167,0
1,0,0,1677881891,168,0
1,1,0,1677881891,169,0
1,0,0,1677881891,170,0
1,0,0,1677881891,171,0
